Parametro_backend,Parametro_mostrar,Unidad,Tipo_dato,Tipo_umbral,Base_umbral,Valor_min,Valor_max,Critico_bajo,Critico_alto,Usa_sexo_biologico,Usa_ayuno,Edad_min,Edad_max,Sexo,Fuente_intervalo,Año_fuente,Tipo_intervalo,Unidad_normalizada,Categoria_alto,Causas_alto,Categoria_bajo,Causas_bajo,Prioridad_clinica,Dominio_principal,Es_driver,Es_guardrail,Nota,Comentario_aplicabilidad
creatinine_mg_dl,Creatinina,mg/dL,numerico,reference,laboratorio,0.6,1.1,0.3,3.0,True,False,18.0,120.0,f,original,2026.0,reference,mg/dL,Creatinina elevada,"IRA,rabdomiolisis",Creatinina baja,"Malnutricion,embarazo temprano",media,renal,True,False,Interpretar con eGFR; usar override por sexo biológico | Ajusta por masa muscular | prioridad_fertilidad: alta,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
creatinine_mg_dl,Creatinina,mg/dL,numerico,reference,laboratorio,0.7,1.3,0.3,6.0,True,False,18.0,120.0,m,original,2026.0,reference,mg/dL,Creatinina elevada,"IRA,obstruccion",Creatinina baja,Malnutricion,media,renal,True,False,Interpretar con eGFR; usar override por sexo biológico | eGFR complementa | prioridad_fertilidad: alta,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
egfr_ml_min_1_73m2,eGFR,mL/min/1.73m2,numerico,clinical_cutoff,guia_clinica,90.0,,15.0,,False,False,18.0,120.0,ambos,original,2026.0,clinical_cutoff,mL/min/1.73m2,eGFR bajo,ERC; insuficiencia renal aguda; envejecimiento; nefropatía diabética; nefropatía hipertensiva,eGFR bajo,Disfunción renal crónica o aguda; CKD si persistente >3 meses,alta,renal,True,True,<60 persistente sugiere ERC | >90 ideal IVF | prioridad_fertilidad: alta  Buena función renal habitual: 90–120 mL/min/1.73m2. 60–89 requiere contextualizar con albuminuria/proteinuria para CKD estadio 1–2. Por debajo de 60 durante >3 meses sugiere CKD moderada-grave.,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
esr_mm_h,VSG (ESR),mm/h,numerico,reference,laboratorio,0.0,20.0,,100.0,True,False,18.0,120.0,f,original,2026.0,reference,mm/h,VSG alta,"Inflamacion sistemica,cancer",VSG baja,Policitemia; hipofibrinogenemia; drepanocitosis; insuficiencia cardiaca severa,baja,inflamacion,False,False,Aumenta con la edad | No especifico; PCR mejor | prioridad_fertilidad: media,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
esr_mm_h,VSG (ESR),mm/h,numerico,reference,laboratorio,0.0,15.0,,100.0,True,False,18.0,120.0,m,original,2026.0,reference,mm/h,VSG alta,"Inflamacion sistemica,cancer",VSG baja,Policitemia; hipofibrinogenemia; drepanocitosis; insuficiencia cardiaca severa,baja,inflamacion,False,False,Aumenta con la edad | No especifico; PCR mejor | prioridad_fertilidad: media,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
ferritin_ng_ml,Ferritina,ng/mL,numerico,reference,laboratorio,15.0,150.0,10.0,500.0,True,False,18.0,120.0,f,adulto,2024.0,reference,ng/mL,Ferritina alta,"Hemocromatosis,Inflam cron",Ferropenia,Ferropenica oculta,alta,hierro,True,True,Reactante de fase aguda; usar override por sexo biológico | Anemia oculta comun IVF | prioridad_fertilidad: alta,Adultas mujeres premenopausia; ajustar postmenopausia
ferritin_ng_ml,Ferritina,ng/mL,numerico,reference,laboratorio,30.0,400.0,10.0,1000.0,True,False,18.0,120.0,m,adulto,2024.0,reference,ng/mL,Ferritina alta,Hemocromatosis,Ferropenia,Ferropenica,alta,hierro,True,True,Reactante de fase aguda; usar override por sexo biológico | Relaciona con TIBC/sat | prioridad_fertilidad: alta,Adultos varones
fibrinogen_mg_dl,Fibrinógeno,mg/dL,numerico,reference,laboratorio,200.0,400.0,100.0,700.0,False,False,18.0,120.0,ambos,original,2026.0,reference,mg/dL,Fibrinógeno alto,"Inflam aguda,FAP",Fibrinógeno bajo,DIC consumida,media,coagulacion,False,False,Reactante de fase aguda | prioridad_fertilidad: media,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
folate_ng_ml,Folato,ng/mL,numerico,reference,laboratorio,2.0,20.0,,,False,False,18.0,120.0,ambos,original,2026.0,reference,ng/mL,Folato alto,Suplementación; dieta rica en folato,Déficit de folato,"Deficiencia folate,Megaloblastica",media,nutricional,True,False,Puede medirse en suero o eritrocito | Neural tube IVF | prioridad_fertilidad: alta,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
ft4_ng_dl,T4 libre (FT4),ng/dL,numerico,reference,ata_laboratorio,0.85,1.95,0.4,5.0,False,False,18.0,120.0,ambos,original,2026.0,reference,ng/dL,FT4 alta,"Hipertiroidismo,tirotoxicosis",FT4 baja,Hipotiroidismo severo,media,tiroides,False,False,Interpretar siempre junto a TSH. | TSH + FT4 | prioridad_fertilidad: alta,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
ggt_u_l,GGT,U/L,numerico,reference,laboratorio,10.0,50.0,,1000.0,False,False,18.0,120.0,ambos,original,2026.0,reference,U/L,GGT elevada,"Alcoholica,Obstruccion biliar",GGT baja,Sin relevancia clínica habitual,media,hepatica,True,False,Marcador sensible pero poco específico | Inductor alcohol | prioridad_fertilidad: media,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
glucose_mg_dl,Glucosa,mg/dL,numerico,clinical_cutoff,guia_clinica,70.0,99.0,50.0,400.0,False,True,18.0,120.0,ambos,original,2026.0,clinical_cutoff,mg/dL,Glucosa elevada,"DKA,HHS",Hipoglucemia,"Hipoglucemia reactiva,Addison",alta,metabolica,True,True,Rango habitual en ayunas | Ayunas; IR afecta implantacion | prioridad_fertilidad: alta,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
hb_g_dl,Hemoglobina,g/dL,numerico,clinical_cutoff,guia_clinica,11.5,14.5,7.0,18.0,True,False,65.0,120.0,f,ancianos,2009.0,clinical_cutoff,g/dL,Hemoglobina alta,Policitemia vera,Anemia,"Anemia aplastica,Hemorragia",alta,hematologia,True,True,Usar override por sexo biológico | ↓ oxigeno embrionario | prioridad_fertilidad: alta,Mayores 65 mujeres; rangos ajustados por edad
hb_g_dl,Hemoglobina,g/dL,numerico,clinical_cutoff,guia_clinica,13.5,17.5,7.0,20.0,True,False,18.0,120.0,m,adulto,2024.0,clinical_cutoff,g/dL,Hemoglobina alta,"Policitemia,deshidrat",Anemia,"Anemia aplastica,Hemorragia",alta,hematologia,True,True,Usar override por sexo biológico | prioridad_fertilidad: alta,Adultos varones
hba1c_pct,HbA1c,%,numerico,clinical_cutoff,guia_clinica,4.0,5.6,3.0,14.0,False,False,18.0,120.0,ambos,original,2026.0,clinical_cutoff,%,HbA1c elevada,Diabetes pobre control,HbA1c baja,Hemolisis cron,alta,metabolica,True,True,Refleja promedio de 2-3 meses | Promedio 3m; >6 prediabetes | prioridad_fertilidad: alta,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
hct_pct,Hematocrito,%,numerico,reference,laboratorio,35.0,45.0,20.0,55.0,True,False,18.0,120.0,f,original,2026.0,reference,%,Hematocrito alto,Policitemia,Hematocrito bajo,Anemia severa,media,hematologia,False,False,Usar override por sexo biológico | Corregido: no 40-55 | prioridad_fertilidad: alta,Partir por sexo: ver rangos específicos M/F
hct_pct,Hematocrito,%,numerico,reference,laboratorio,38.0,50.0,20.0,60.0,True,False,18.0,120.0,m,original,2026.0,reference,%,Hematocrito alto,Policitemia,Hematocrito bajo,Anemia severa,media,hematologia,False,False,Usar override por sexo biológico | prioridad_fertilidad: alta,Partir por sexo: ver rangos específicos M/F
hdl_mg_dl,HDL,mg/dL,numerico,reference,laboratorio,50.0,,,,True,True,18.0,120.0,f,original,2026.0,reference,mg/dL,HDL óptimo,Ejercicio; pérdida de peso; genética; alcohol moderado; fármacos,HDL bajo,Obesidad; tabaco; hipertrigliceridemia; insulinorresistencia; síndrome metabólico,media,lipidos,False,False,Usar override por sexo biológico | Corregido >50 protect CV | prioridad_fertilidad: media,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
hdl_mg_dl,HDL,mg/dL,numerico,reference,laboratorio,40.0,,,,True,True,18.0,120.0,m,original,2026.0,reference,mg/dL,HDL óptimo,Ejercicio; pérdida de peso; genética; alcohol moderado; fármacos,HDL bajo,Obesidad; tabaco; hipertrigliceridemia; insulinorresistencia; síndrome metabólico,media,lipidos,False,False,Usar override por sexo biológico | >40 | prioridad_fertilidad: media,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
hscrp_mg_l,hsCRP / PCR,mg/L,numerico,clinical_cutoff,guia_clinica,0.0,1.0,,10.0,False,False,18.0,120.0,ambos,original,2026.0,clinical_cutoff,mg/L,PCR elevada,"MACS,Infeccion aguda",PCR muy baja,Sin relevancia clínica habitual,alta,inflamacion,True,True,<1 bajo riesgo CV; >3 alto riesgo CV | hsCRP >3 predice fracaso IVF [estudios] | prioridad_fertilidad: alta,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
insulin_uIU_ml,Insulina,uIU/mL,numerico,reference,motor_operativo,2.0,12.0,1.0,100.0,False,True,18.0,120.0,ambos,original,2026.0,reference,uIU/mL,Insulina alta,"Insulinoma,IR severa",Insulina baja,Hipopituitarismo,media,metabolica,True,False,Más útil en ayunas y junto con glucosa | Ayunas con glucose | prioridad_fertilidad: alta,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
iron_ug_dl,Hierro,mcg/dL,numerico,reference,laboratorio,75.0,150.0,20.0,300.0,False,False,18.0,120.0,ambos,original,2026.0,reference,mcg/dL,Hierro alto,Sobrecarga hierro,Hierro bajo,Def hierro,alta,hierro,False,False,Muy variable durante el día y con la dieta | Diurno varia | prioridad_fertilidad: alta,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
ldl_mg_dl,LDL,mg/dL,numerico,clinical_cutoff,guia_clinica,0.0,99.0,,500.0,False,True,18.0,120.0,ambos,original,2026.0,clinical_cutoff,mg/dL,LDL elevado,Aterosclerosis acelerada,LDL bajo,Desnutrición; hipertiroidismo; malabsorción; hepatopatía avanzada; tratamiento hipolipemiante,alta,lipidos,True,True,Objetivo deseable <100 mg/dL | Calculado o directo | prioridad_fertilidad: media,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
lpa_nmol_l,Lipoproteína(a) [Lp(a)],nmol/L,numerico,clinical_cutoff,esc_2025,0.0,124.0,,400.0,False,False,18.0,120.0,ambos,original,2026.0,clinical_cutoff,nmol/L,Lp(a) elevada,Riesgo CV genetico,,,media,lipidos_cv,False,False,ESC: considerar medir al menos una vez en la vida adulta; riesgo relevante si muy elevada. | Lp(a) no baja con estatinas | prioridad_fertilidad: media,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
lymph_abs_x10_3_mm3,Linfocitos abs,x10^3/mm3,numerico,reference,laboratorio,1.0,4.8,0.5,10.0,False,False,18.0,120.0,ambos,original,2026.0,reference,x10^3/mm3,Linfocitosis,"Linfoma,Viral cron",Linfopenia,Inmunodeficiencia,media,hematologia,False,False,Biomarcador de fragilidad inmunológica | Viral: ↑ | prioridad_fertilidad: media,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
mcv_fl,VCM (MCV),fL,numerico,reference,laboratorio,80.0,100.0,60.0,120.0,False,False,18.0,120.0,ambos,original,2026.0,reference,fL,Macrocitosis,B12/folato def,Microcitosis,Ferropenica/talasemia,media,hematologia,False,False,Interpretar con Hb y RDW | Clasifica anemia con Hb/RDW | prioridad_fertilidad: alta,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
neut_abs_x10_3_mm3,Neutrófilos abs,x10^3/mm3,numerico,reference,laboratorio,1.8,7.5,0.5,20.0,False,False,18.0,120.0,ambos,original,2026.0,reference,x10^3/mm3,Neutrofilia,"Leucemia mieloide,Bacteriana",Neutropenia,Neutropenia febril,alta,hematologia,False,False,Neutropenia severa incrementa riesgo infeccioso | Bacteriana: ↑↑ + bandas | prioridad_fertilidad: media,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
platelets_x10_3_uL,Plaquetas,x10^3/uL,numerico,reference,referencia_biologica,150.0,400.0,20.0,1000.0,False,False,18.0,120.0,ambos,original,2026.0,reference,x10^3/uL,Trombocitosis,Trombocitemia esencial,Trombocitopenia,"TTP,HIT,Quimio",media,hematologia,True,True,Útil para FIB-4 y contexto hematológico; interpretar con cautela. | Reactiva infeccion | prioridad_fertilidad: media,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
rbc_x10_6_mm3,Hematíes,x10^6/mm3,numerico,reference,laboratorio,4.5,6.1,2.0,7.0,True,False,18.0,120.0,f,original,2026.0,reference,x10^6/mm3,Eritrocitosis,Policitemia,Anemia hematológica,"Anemia,Hemolisis",media,hematologia,False,False,Usar override por sexo biológico | prioridad_fertilidad: alta,Partir por sexo: ver rangos específicos M/F
rbc_x10_6_mm3,Hematíes,x10^6/mm3,numerico,reference,laboratorio,4.5,6.1,2.0,7.0,True,False,18.0,120.0,m,original,2026.0,reference,x10^6/mm3,Eritrocitosis,Policitemia,Anemia hematológica,"Anemia,Hemolisis",media,hematologia,False,False,Usar override por sexo biológico | prioridad_fertilidad: alta,Partir por sexo: ver rangos específicos M/F
rdw_pct,RDW,%,numerico,reference,laboratorio,12.0,15.0,,20.0,False,False,18.0,120.0,ambos,original,2026.0,reference,%,Anisocitosis,Anemia dismorfica/megaloblastica,,Sin relevancia aislada habitual,baja,hematologia,False,False,Útil como apoyo en anemias | ↑ en hemorragia postaguda | prioridad_fertilidad: alta,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
sex,Sexo,categorico,contexto,relative_orientation,motor_operativo,,,,,False,False,18.0,120.0,ambos,original,2026.0,relative_orientation,categorico,No aplica,No aplica,No aplica,No aplica,baja,context,False,False,Sexo biológico para interpretación analítica,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
tibc_ug_dl,TIBC,mcg/dL,numerico,reference,laboratorio,250.0,450.0,,500.0,False,False,18.0,120.0,ambos,original,2026.0,reference,mcg/dL,TIBC alta,Anemia ferropenica,TIBC baja,Inflamación; sobrecarga de hierro; hepatopatía; desnutrición,media,hierro,False,False,Interpretar con hierro y ferritina | ↑ en def hierro | prioridad_fertilidad: alta,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
transferrin_mg_dl,Transferrina,mg/dL,numerico,reference,laboratorio,215.0,365.0,,,False,False,18.0,120.0,ambos,original,2026.0,reference,mg/dL,Transferrina alta,Inflamacion aguda,Transferrina baja,Inflamación; hepatopatía; desnutrición; síndrome nefrótico,media,hierro,False,False,Relacionada con TIBC | prioridad_fertilidad: alta,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
transferrin_sat_pct,Sat. transferrina,%,numerico,reference,laboratorio,20.0,50.0,,90.0,False,False,18.0,120.0,ambos,original,2026.0,reference,%,Saturación alta,Sobrecarga hierro,Saturación baja,Ferropenia; inflamación; déficit de hierro funcional,alta,hierro,True,False,Si baja con ferritina baja sugiere ferropenia | prioridad_fertilidad: alta,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
triglycerides_mg_dl,Triglicéridos,mg/dL,numerico,clinical_cutoff,guia_clinica,0.0,149.0,,1000.0,False,True,18.0,120.0,ambos,original,2026.0,clinical_cutoff,mg/dL,Hipertrigliceridemia,Pancreatitis aguda,TG bajo,Desnutrición; malabsorción; hipertiroidismo; enfermedad crónica,media,lipidos,True,False,Muy sensible a ayuno y alcohol | Ayunas obligatoria | prioridad_fertilidad: media,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
tsh_mIU_l,TSH,mIU/L,numerico,reference,ata_laboratorio,0.4,4.0,0.01,100.0,False,False,18.0,120.0,ambos,original,2026.0,reference,mIU/L,TSH alta,Hipotiroidismo primario,TSH baja,"Tirotoxicosis,bocio toxico",media,tiroides,False,False,"La interpretación depende de FT4, edad y contexto clínico. | Subclinico >2.5 afecta receptividad | prioridad_fertilidad: alta",Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
uacr_mg_g,Cociente albúmina/creatinina urinaria (UACR),mg/g,numerico,clinical_cutoff,kdigo_2024,0.0,29.0,,500.0,False,False,18.0,120.0,ambos,original,2026.0,clinical_cutoff,mg/g,Albuminuria elevada,"Nefropatia diabetica,glomerulonefritis",,,alta,renal,True,True,KDIGO: A1 <30 mg/g; A2 30-300; A3 >300. | Microalbuminuria precoz | prioridad_fertilidad: alta,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
urea_mg_dl,Urea,mg/dL,numerico,reference,laboratorio,15.0,40.0,5.0,150.0,False,False,18.0,120.0,ambos,original,2026.0,reference,mg/dL,Urea alta,"Obstruccion postrenal,GI bleed",Urea baja,Hepatica severa,media,renal,False,False,Puede expresarse como urea o BUN | Urea/Cr >20: sangre digerida | prioridad_fertilidad: media,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
uric_acid_mg_dl,Ácido úrico,mg/dL,numerico,reference,laboratorio,3.5,7.2,,15.0,False,False,18.0,120.0,ambos,original,2026.0,reference,mg/dL,Hiperuricemia,"Gota,Sobreproduccion purinas",Ácido úrico bajo,SIADH; fármacos uricosúricos; hepatopatía; tubulopatías,media,metabolico,False,False,Interpretar con función renal y contexto | prioridad_fertilidad: baja,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
vitb12_pg_ml,Vitamina B12,pg/mL,numerico,reference,laboratorio,200.0,900.0,150.0,2000.0,False,False,18.0,120.0,ambos,original,2026.0,reference,pg/mL,B12 alta,Leucemia suplemento,B12 baja,"Deficiencia B12,neurologica",alta,nutricional,True,False,Correlacionar con síntomas neurológicos y anemia | Megaloblastica con folate | prioridad_fertilidad: alta,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
waist_cm,Cintura,cm,numerico,clinical_cutoff,guia_clinica,0.0,80.0,,,True,False,18.0,120.0,f,original,2026.0,clinical_cutoff,cm,Obesidad abdominal,Sindrome metabolico,,No aplica,alta,metabolico,False,True,Usar override por sexo biológico | Corregido <88 mujeres | prioridad_fertilidad: alta,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
waist_cm,Cintura,cm,numerico,clinical_cutoff,guia_clinica,0.0,89.0,,,True,False,18.0,120.0,m,original,2026.0,clinical_cutoff,cm,Obesidad abdominal,Sindrome metabolico,,No aplica,alta,metabolico,False,True,Usar override por sexo biológico | <102 hombres | prioridad_fertilidad: alta,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
wbc_x10_3_mm3,Leucocitos,x10^3/mm3,numerico,reference,laboratorio,4.0,10.0,1.0,50.0,False,False,18.0,120.0,ambos,original,2026.0,reference,x10^3/mm3,Leucocitosis,Leucemia aguda,Leucopenia,Neutropenia sepsis,media,hematologia,False,False,El diferencial aporta valor adicional | Diferencia viral (linf↑) vs bact (neut↑↑) | prioridad_fertilidad: media,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
