link_id,mechanism_id,output_type,output_key,priority,strength_mode,min_activation,max_activation,condition_context,message_short,message_long,target_variable,target_direction,followup_hint,guardrail_key,is_enabled,notes
MS026,riesgo_cardiometabolico_global,followup,riesgo_cardiometabolico_global_followup,4,binary,20,,none,Sugerido control evolutivo de riesgo cardiometabolico global.,Tiene sentido reevaluar riesgo cardiometabolico global tras un intervalo corto para comprobar dirección del cambio y coherencia clínica.,apob_mg_dl,stability,Repetir apob_mg_dl y contexto metabólico en 8-12 semanas.,contextualizar_resultado,1,alineado a patron_resumen / threshold=65
MS027,riesgo_cardiometabolico_global,guardrail,riesgo_cardiometabolico_global_guardrail,3,binary,20,,none,Conviene contextualizar riesgo cardiometabolico global.,"Antes de sobrerinterpretar riesgo cardiometabolico global conviene revisar fase de extracción, contexto clínico, medicación y posibles causas secundarias.",apob_mg_dl,mixed,Repetir apob_mg_dl y contexto metabólico en 8-12 semanas.,contextualizar_resultado,1,alineado a patron_resumen / threshold=65
MS028,riesgo_cardiometabolico_global,priority_signal,riesgo_cardiometabolico_global_priority_signal,5,capped,40,,none,Alta prioridad para riesgo cardiometabolico global.,"Por su peso agregado, riesgo cardiometabolico global debe subir en la jerarquía del resumen ejecutivo y del plan de acción.",apob_mg_dl,up,Repetir apob_mg_dl y contexto metabólico en 8-12 semanas.,contextualizar_resultado,1,alineado a patron_resumen / threshold=65
MS029,carga_hiperuricemica,clinical_pattern,carga_hiperuricemica_clinical_pattern,5,inherit_activation,20,,none,Predomina un patrón compatible con carga hiperuricemica.,El conjunto de señales activas es compatible con carga hiperuricemica. Tendencia a hiperuricemia por sobreproducción o infraexcreción en contexto metabólico.,uric_acid_mg_dl,up,Repetir uric_acid_mg_dl y contexto metabólico en 8-12 semanas.,contextualizar_resultado,1,alineado a mecanismo / threshold=45
MS030,carga_hiperuricemica,clinical_message,carga_hiperuricemica_clinical_message,5,inherit_activation,25,,none,Se observa activación de carga hiperuricemica.,La combinación de analitos asociados sugiere activación de carga hiperuricemica con relevancia en el dominio metabólico.,uric_acid_mg_dl,up,Repetir uric_acid_mg_dl y contexto metabólico en 8-12 semanas.,contextualizar_resultado,1,alineado a mecanismo / threshold=45
MS031,carga_hiperuricemica,nutrition_action,carga_hiperuricemica_nutrition_action,5,scaled,30,,none,Conviene priorizar intervención sobre carga hiperuricemica.,Este eje merece un plan dirigido a modular carga hiperuricemica y mejorar la trayectoria del marcador diana uric_acid_mg_dl.,uric_acid_mg_dl,down,Repetir uric_acid_mg_dl y contexto metabólico en 8-12 semanas.,contextualizar_resultado,1,alineado a mecanismo / threshold=45
MS032,carga_hiperuricemica,projected_target,carga_hiperuricemica_projected_target,4,inherit_activation,35,,none,uric_acid_mg_dl pasa a ser objetivo prioritario.,La activación de carga hiperuricemica hace útil vigilar especialmente uric_acid_mg_dl como variable de seguimiento principal.,uric_acid_mg_dl,down,Repetir uric_acid_mg_dl y contexto metabólico en 8-12 semanas.,contextualizar_resultado,1,alineado a mecanismo / threshold=45
MS033,carga_hiperuricemica,followup,carga_hiperuricemica_followup,4,binary,20,,none,Sugerido control evolutivo de carga hiperuricemica.,Tiene sentido reevaluar carga hiperuricemica tras un intervalo corto para comprobar dirección del cambio y coherencia clínica.,uric_acid_mg_dl,stability,Repetir uric_acid_mg_dl y contexto metabólico en 8-12 semanas.,contextualizar_resultado,1,alineado a mecanismo / threshold=45
MS034,carga_hiperuricemica,guardrail,carga_hiperuricemica_guardrail,3,binary,20,,none,Conviene contextualizar carga hiperuricemica.,"Antes de sobrerinterpretar carga hiperuricemica conviene revisar fase de extracción, contexto clínico, medicación y posibles causas secundarias.",uric_acid_mg_dl,mixed,Repetir uric_acid_mg_dl y contexto metabólico en 8-12 semanas.,contextualizar_resultado,1,alineado a mecanismo / threshold=45
MS035,carga_hiperuricemica,priority_signal,carga_hiperuricemica_priority_signal,5,capped,40,,none,Alta prioridad para carga hiperuricemica.,"Por su peso agregado, carga hiperuricemica debe subir en la jerarquía del resumen ejecutivo y del plan de acción.",uric_acid_mg_dl,up,Repetir uric_acid_mg_dl y contexto metabólico en 8-12 semanas.,contextualizar_resultado,1,alineado a mecanismo / threshold=45
MS036,sindrome_metabolico_patron,clinical_pattern,sindrome_metabolico_patron_clinical_pattern,5,inherit_activation,20,,none,Predomina un patrón compatible con sindrome metabolico patron.,"El conjunto de señales activas es compatible con sindrome metabolico patron. Agrupación operativa de adiposidad central, glucosa alterada y dislipidemia aterogénica.",glucose_mg_dl,up,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,usar_ayuno_si_variable,1,alineado a patron_resumen / threshold=65
MS037,sindrome_metabolico_patron,clinical_message,sindrome_metabolico_patron_clinical_message,5,inherit_activation,25,,none,Se observa activación de sindrome metabolico patron.,La combinación de analitos asociados sugiere activación de sindrome metabolico patron con relevancia en el dominio metabólico.,glucose_mg_dl,up,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,usar_ayuno_si_variable,1,alineado a patron_resumen / threshold=65
MS038,sindrome_metabolico_patron,nutrition_action,sindrome_metabolico_patron_nutrition_action,5,scaled,30,,none,Conviene priorizar intervención sobre sindrome metabolico patron.,Este eje merece un plan dirigido a modular sindrome metabolico patron y mejorar la trayectoria del marcador diana glucose_mg_dl.,glucose_mg_dl,down,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,usar_ayuno_si_variable,1,alineado a patron_resumen / threshold=65
MS039,sindrome_metabolico_patron,projected_target,sindrome_metabolico_patron_projected_target,4,inherit_activation,35,,none,glucose_mg_dl pasa a ser objetivo prioritario.,La activación de sindrome metabolico patron hace útil vigilar especialmente glucose_mg_dl como variable de seguimiento principal.,glucose_mg_dl,down,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,usar_ayuno_si_variable,1,alineado a patron_resumen / threshold=65
MS040,sindrome_metabolico_patron,followup,sindrome_metabolico_patron_followup,4,binary,20,,none,Sugerido control evolutivo de sindrome metabolico patron.,Tiene sentido reevaluar sindrome metabolico patron tras un intervalo corto para comprobar dirección del cambio y coherencia clínica.,glucose_mg_dl,stability,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,usar_ayuno_si_variable,1,alineado a patron_resumen / threshold=65
MS041,sindrome_metabolico_patron,guardrail,sindrome_metabolico_patron_guardrail,3,binary,20,,none,Conviene contextualizar sindrome metabolico patron.,"Antes de sobrerinterpretar sindrome metabolico patron conviene revisar fase de extracción, contexto clínico, medicación y posibles causas secundarias.",glucose_mg_dl,mixed,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,usar_ayuno_si_variable,1,alineado a patron_resumen / threshold=65
MS042,sindrome_metabolico_patron,priority_signal,sindrome_metabolico_patron_priority_signal,5,capped,40,,none,Alta prioridad para sindrome metabolico patron.,"Por su peso agregado, sindrome metabolico patron debe subir en la jerarquía del resumen ejecutivo y del plan de acción.",glucose_mg_dl,up,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,usar_ayuno_si_variable,1,alineado a patron_resumen / threshold=65
MS043,carga_pancreatica_glucidica,clinical_pattern,carga_pancreatica_glucidica_clinical_pattern,5,inherit_activation,20,,none,Predomina un patrón compatible con carga pancreatica glucidica.,El conjunto de señales activas es compatible con carga pancreatica glucidica. Sobrecarga de la regulación pancreática de la glucosa; útil para separar compensación hiperinsulinémica.,glucose_mg_dl,up,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,usar_ayuno_si_variable,1,alineado a mecanismo / threshold=45
MS044,carga_pancreatica_glucidica,clinical_message,carga_pancreatica_glucidica_clinical_message,5,inherit_activation,25,,none,Se observa activación de carga pancreatica glucidica.,La combinación de analitos asociados sugiere activación de carga pancreatica glucidica con relevancia en el dominio metabólico.,glucose_mg_dl,up,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,usar_ayuno_si_variable,1,alineado a mecanismo / threshold=45
MS045,carga_pancreatica_glucidica,nutrition_action,carga_pancreatica_glucidica_nutrition_action,5,scaled,30,,none,Conviene priorizar intervención sobre carga pancreatica glucidica.,Este eje merece un plan dirigido a modular carga pancreatica glucidica y mejorar la trayectoria del marcador diana glucose_mg_dl.,glucose_mg_dl,down,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,usar_ayuno_si_variable,1,alineado a mecanismo / threshold=45
MS046,carga_pancreatica_glucidica,projected_target,carga_pancreatica_glucidica_projected_target,4,inherit_activation,35,,none,glucose_mg_dl pasa a ser objetivo prioritario.,La activación de carga pancreatica glucidica hace útil vigilar especialmente glucose_mg_dl como variable de seguimiento principal.,glucose_mg_dl,down,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,usar_ayuno_si_variable,1,alineado a mecanismo / threshold=45
MS047,carga_pancreatica_glucidica,followup,carga_pancreatica_glucidica_followup,4,binary,20,,none,Sugerido control evolutivo de carga pancreatica glucidica.,Tiene sentido reevaluar carga pancreatica glucidica tras un intervalo corto para comprobar dirección del cambio y coherencia clínica.,glucose_mg_dl,stability,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,usar_ayuno_si_variable,1,alineado a mecanismo / threshold=45
MS048,carga_pancreatica_glucidica,guardrail,carga_pancreatica_glucidica_guardrail,3,binary,20,,none,Conviene contextualizar carga pancreatica glucidica.,"Antes de sobrerinterpretar carga pancreatica glucidica conviene revisar fase de extracción, contexto clínico, medicación y posibles causas secundarias.",glucose_mg_dl,mixed,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,usar_ayuno_si_variable,1,alineado a mecanismo / threshold=45
MS049,carga_pancreatica_glucidica,priority_signal,carga_pancreatica_glucidica_priority_signal,5,capped,40,,none,Alta prioridad para carga pancreatica glucidica.,"Por su peso agregado, carga pancreatica glucidica debe subir en la jerarquía del resumen ejecutivo y del plan de acción.",glucose_mg_dl,up,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,usar_ayuno_si_variable,1,alineado a mecanismo / threshold=45
MS050,estado_purinico,clinical_pattern,estado_purinico_clinical_pattern,5,inherit_activation,20,,none,Predomina un patrón compatible con estado purinico.,El conjunto de señales activas es compatible con estado purinico. Lectura operativa del eje purinas/ácido úrico/excreción renal. [Usar con umbral alto: Concepto paraguas menos específico que carga hiperuricémica.],uric_acid_mg_dl,down,Repetir uric_acid_mg_dl y contexto metabólico en 8-12 semanas.,contextualizar_resultado,1,alineado a mecanismo / threshold=55
MS051,estado_purinico,clinical_message,estado_purinico_clinical_message,5,inherit_activation,25,,none,Se observa activación de estado purinico.,La combinación de analitos asociados sugiere activación de estado purinico con relevancia en el dominio metabólico.,uric_acid_mg_dl,down,Repetir uric_acid_mg_dl y contexto metabólico en 8-12 semanas.,contextualizar_resultado,1,alineado a mecanismo / threshold=55
MS052,estado_purinico,nutrition_action,estado_purinico_nutrition_action,5,scaled,30,,none,Conviene priorizar intervención sobre estado purinico.,Este eje merece un plan dirigido a modular estado purinico y mejorar la trayectoria del marcador diana uric_acid_mg_dl.,uric_acid_mg_dl,up,Repetir uric_acid_mg_dl y contexto metabólico en 8-12 semanas.,contextualizar_resultado,1,alineado a mecanismo / threshold=55
MS053,estado_purinico,projected_target,estado_purinico_projected_target,4,inherit_activation,35,,none,uric_acid_mg_dl pasa a ser objetivo prioritario.,La activación de estado purinico hace útil vigilar especialmente uric_acid_mg_dl como variable de seguimiento principal.,uric_acid_mg_dl,up,Repetir uric_acid_mg_dl y contexto metabólico en 8-12 semanas.,contextualizar_resultado,1,alineado a mecanismo / threshold=55
MS054,estado_purinico,followup,estado_purinico_followup,4,binary,20,,none,Sugerido control evolutivo de estado purinico.,Tiene sentido reevaluar estado purinico tras un intervalo corto para comprobar dirección del cambio y coherencia clínica.,uric_acid_mg_dl,stability,Repetir uric_acid_mg_dl y contexto metabólico en 8-12 semanas.,contextualizar_resultado,1,alineado a mecanismo / threshold=55
MS055,estado_purinico,guardrail,estado_purinico_guardrail,3,binary,20,,none,Conviene contextualizar estado purinico.,"Antes de sobrerinterpretar estado purinico conviene revisar fase de extracción, contexto clínico, medicación y posibles causas secundarias.",uric_acid_mg_dl,mixed,Repetir uric_acid_mg_dl y contexto metabólico en 8-12 semanas.,contextualizar_resultado,1,alineado a mecanismo / threshold=55
MS056,estado_purinico,priority_signal,estado_purinico_priority_signal,5,capped,40,,none,Alta prioridad para estado purinico.,"Por su peso agregado, estado purinico debe subir en la jerarquía del resumen ejecutivo y del plan de acción.",uric_acid_mg_dl,down,Repetir uric_acid_mg_dl y contexto metabólico en 8-12 semanas.,contextualizar_resultado,1,alineado a mecanismo / threshold=55
MS057,inflamacion,clinical_pattern,inflamacion_clinical_pattern,5,inherit_activation,20,,none,Predomina un patrón compatible con inflamacion.,El conjunto de señales activas es compatible con inflamacion. Inflamación sistémica de baja o media intensidad detectada con reactantes y hemograma.,hscrp_mg_l,up,Repetir hscrp_mg_l y revisar causas intercurrentes en 4-8 semanas.,contextualizar_resultado,1,alineado a mecanismo / threshold=40
MS058,inflamacion,clinical_message,inflamacion_clinical_message,5,inherit_activation,25,,none,Se observa activación de inflamacion.,La combinación de analitos asociados sugiere activación de inflamacion con relevancia en el dominio inflamación / estrés biológico.,hscrp_mg_l,up,Repetir hscrp_mg_l y revisar causas intercurrentes en 4-8 semanas.,contextualizar_resultado,1,alineado a mecanismo / threshold=40
MS059,inflamacion,nutrition_action,inflamacion_nutrition_action,5,scaled,30,,none,Conviene priorizar intervención sobre inflamacion.,Este eje merece un plan dirigido a modular inflamacion y mejorar la trayectoria del marcador diana hscrp_mg_l.,hscrp_mg_l,down,Repetir hscrp_mg_l y revisar causas intercurrentes en 4-8 semanas.,contextualizar_resultado,1,alineado a mecanismo / threshold=40
MS060,inflamacion,projected_target,inflamacion_projected_target,4,inherit_activation,35,,none,hscrp_mg_l pasa a ser objetivo prioritario.,La activación de inflamacion hace útil vigilar especialmente hscrp_mg_l como variable de seguimiento principal.,hscrp_mg_l,down,Repetir hscrp_mg_l y revisar causas intercurrentes en 4-8 semanas.,contextualizar_resultado,1,alineado a mecanismo / threshold=40
MS061,inflamacion,followup,inflamacion_followup,4,binary,20,,none,Sugerido control evolutivo de inflamacion.,Tiene sentido reevaluar inflamacion tras un intervalo corto para comprobar dirección del cambio y coherencia clínica.,hscrp_mg_l,stability,Repetir hscrp_mg_l y revisar causas intercurrentes en 4-8 semanas.,contextualizar_resultado,1,alineado a mecanismo / threshold=40
MS062,inflamacion,guardrail,inflamacion_guardrail,3,binary,20,,none,Conviene contextualizar inflamacion.,"Antes de sobrerinterpretar inflamacion conviene revisar fase de extracción, contexto clínico, medicación y posibles causas secundarias.",hscrp_mg_l,mixed,Repetir hscrp_mg_l y revisar causas intercurrentes en 4-8 semanas.,contextualizar_resultado,1,alineado a mecanismo / threshold=40
MS063,inflamacion,priority_signal,inflamacion_priority_signal,5,capped,40,,none,Alta prioridad para inflamacion.,"Por su peso agregado, inflamacion debe subir en la jerarquía del resumen ejecutivo y del plan de acción.",hscrp_mg_l,up,Repetir hscrp_mg_l y revisar causas intercurrentes en 4-8 semanas.,contextualizar_resultado,1,alineado a mecanismo / threshold=40
MS064,activacion_inmune,clinical_pattern,activacion_inmune_clinical_pattern,5,inherit_activation,20,,none,Predomina un patrón compatible con activacion inmune.,El conjunto de señales activas es compatible con activacion inmune. Activación inmunitaria o patrón leucocitario reactivo. [Usar con umbral alto: Solapa con inflamación; requiere patrón hematológico consistente.],wbc_x10_3_mm3,up,Repetir wbc_x10_3_mm3 y revisar causas intercurrentes en 4-8 semanas.,contextualizar_resultado,1,alineado a mecanismo / threshold=55
MS065,activacion_inmune,clinical_message,activacion_inmune_clinical_message,5,inherit_activation,25,,none,Se observa activación de activacion inmune.,La combinación de analitos asociados sugiere activación de activacion inmune con relevancia en el dominio inflamación / estrés biológico.,wbc_x10_3_mm3,up,Repetir wbc_x10_3_mm3 y revisar causas intercurrentes en 4-8 semanas.,contextualizar_resultado,1,alineado a mecanismo / threshold=55
MS066,activacion_inmune,nutrition_action,activacion_inmune_nutrition_action,5,scaled,30,,none,Conviene priorizar intervención sobre activacion inmune.,Este eje merece un plan dirigido a modular activacion inmune y mejorar la trayectoria del marcador diana wbc_x10_3_mm3.,wbc_x10_3_mm3,down,Repetir wbc_x10_3_mm3 y revisar causas intercurrentes en 4-8 semanas.,contextualizar_resultado,1,alineado a mecanismo / threshold=55
MS067,activacion_inmune,projected_target,activacion_inmune_projected_target,4,inherit_activation,35,,none,wbc_x10_3_mm3 pasa a ser objetivo prioritario.,La activación de activacion inmune hace útil vigilar especialmente wbc_x10_3_mm3 como variable de seguimiento principal.,wbc_x10_3_mm3,down,Repetir wbc_x10_3_mm3 y revisar causas intercurrentes en 4-8 semanas.,contextualizar_resultado,1,alineado a mecanismo / threshold=55
MS068,activacion_inmune,followup,activacion_inmune_followup,4,binary,20,,none,Sugerido control evolutivo de activacion inmune.,Tiene sentido reevaluar activacion inmune tras un intervalo corto para comprobar dirección del cambio y coherencia clínica.,wbc_x10_3_mm3,stability,Repetir wbc_x10_3_mm3 y revisar causas intercurrentes en 4-8 semanas.,contextualizar_resultado,1,alineado a mecanismo / threshold=55
MS069,activacion_inmune,guardrail,activacion_inmune_guardrail,3,binary,20,,none,Conviene contextualizar activacion inmune.,"Antes de sobrerinterpretar activacion inmune conviene revisar fase de extracción, contexto clínico, medicación y posibles causas secundarias.",wbc_x10_3_mm3,mixed,Repetir wbc_x10_3_mm3 y revisar causas intercurrentes en 4-8 semanas.,contextualizar_resultado,1,alineado a mecanismo / threshold=55
