rule_id,variable,etiqueta_variable,dominio_analito,sexo_referencia,rango_referencia,mecanismo,label_mecanismo,dominio_fisiologico,direccion,peso_mecanistico,tipo_aporte,especificidad,especificidad_num,fuerza,evidence_tier,evidencia_num,combo_fisiologico,es_driver_primario,necesita_ayuno,sexo_scope_regla,requiere_contexto,analitos_confirmatorios,analitos_competidores,comentario_fisiologico,definition,clinical_notes,priority_base,activation_threshold,min_hits,min_groups,display_threshold,rango_critico_bajo,rango_critico_alto,activo
VM196,alt_u_l,ALT,hepatica,ambos,7.0–41.0,recambio_muscular_lesion,Recambio Muscular Lesion,Muscular / recambio,high,0.15,context,baja,0.4,baja,baja,0.4,lesion_contexto,no,no,all,,"ast_u_l, hscrp_mg_l, creatinine_mg_dl",,Contexto: elevación de alt_u_l apoya el grupo lesion_contexto.,"Sospecha de recambio/lesión muscular; incompleto sin CK. [Experimental desactivado: Faltan CK/LDH y contexto de ejercicio/lesión. Alto riesgo de confundir hígado, riñón o catabolismo.]",Muy inespecífico sin CK; usar como hipótesis débil.,baja,70,2,2,24,,1000,no
VM115,alt_u_l,ALT,hepatica,ambos,7.0–41.0,sobrecarga_ferrica,Sobrecarga Ferrica,Hematínico / nutricional,high,0.17,context,baja,0.4,baja,baja,0.4,hepatico,no,no,all,,"transferrin_sat_pct, ferritin_ng_ml, iron_ug_dl",,Contexto: elevación de alt_u_l apoya el grupo hepatico.,Exceso de hierro o señal de ferritina alta con saturación aumentada.,Ferritina alta aislada es ambigua; pedir saturación/transaminasas/Fe para reforzar.,alta,50,2,2,24,,1000,si
VM026,apob_mg_dl,Apolipoproteína B (ApoB),lipidos,ambos,0.0–89.0,dislipidemia_aterogenica,Dislipidemia Aterogenica,Metabólico,high,1,driver,alta,1,alta,alta,1,carga_aterogenica,si,no,all,,"triglycerides_mg_dl, hdl_mg_dl, lpa_nmol_l",,Driver principal: elevación de apob_mg_dl apoya el grupo carga_aterogenica.,"Patrón de TG altos, HDL bajo y aumento de partículas aterogénicas.",No activar por colesterol total aislado; pedir TG/HDL/ApoB/LDL-patrón coherente.,alta,45,2,2,26,,200,si
VM010,apob_mg_dl,Apolipoproteína B (ApoB),lipidos,ambos,0.0–89.0,insulinorresistencia,Insulinorresistencia,Metabólico,high,0.37,support,baja,0.4,media,baja,0.4,dislipidemia,no,no,all,,"glucose_mg_dl, hba1c_pct, insulin_uIU_ml",,Driver de soporte: elevación de apob_mg_dl apoya el grupo dislipidemia.,Patrón de hiperinsulinemia compensatoria y exceso adiposo visceral con tendencia a disglucemia y dislipidemia.,Exigir señal glucémica/insulínica más al menos un eje adiposidad o dislipidemia para evitar sobrediagnóstico por una variable aislada.,alta,45,3,2,28,,200,si
VM038,apob_mg_dl,Apolipoproteína B (ApoB),lipidos,ambos,0.0–89.0,riesgo_cardiometabolico_global,Riesgo Cardiometabolico Global,Metabólico,high,0.97,driver,alta,1,alta,alta,1,carga_aterogenica,si,no,all,,"lpa_nmol_l, triglycerides_mg_dl, ldl_mg_dl",,Driver principal: elevación de apob_mg_dl apoya el grupo carga_aterogenica.,"Integración de carga lipídica, glucídica, inflamatoria y adiposidad central.",Patrón resumen; requiere convergencia lipídica y metabólica/inflamatoria.,alta,65,3,2,30,,200,si
VM145,ast_u_l,AST,hepatica,ambos,10.0–40.0,carga_hepatica,Carga Hepatica,Hepático,high,0.47,support,baja,0.4,alta,media,0.7,citolisis,no,no,all,,"alt_u_l, albumin_g_dl, ggt_u_l",,Driver de soporte: elevación de ast_u_l apoya el grupo citolisis.,Estrés hepatocelular o carga metabólica hepática.,ALT aislada leve no basta; pedir AST/GGT o soporte metabólico.,alta,45,2,2,24,,1000,si
VM150,ast_u_l,AST,hepatica,ambos,10.0–40.0,componente_hepatobiliar,Componente Hepatobiliar,Hepático,high,0.17,context,baja,0.4,baja,baja,0.4,citolisis,no,no,all,,"ggt_u_l, alp_u_l, bilirubin_total_mg_dl",,Contexto: elevación de ast_u_l apoya el grupo citolisis.,Componente colestásico/hepatobiliar.,"GGT/ALP/bilirrubina deben mostrar patrón biliar, no una elevación aislada.",alta,40,2,2,24,,1000,si
VM197,ast_u_l,AST,hepatica,ambos,10.0–40.0,recambio_muscular_lesion,Recambio Muscular Lesion,Muscular / recambio,high,0.29,support,baja,0.4,media,baja,0.4,lesion_contexto,no,no,all,,"hscrp_mg_l, alt_u_l, creatinine_mg_dl",,Driver de soporte: elevación de ast_u_l apoya el grupo lesion_contexto.,"Sospecha de recambio/lesión muscular; incompleto sin CK. [Experimental desactivado: Faltan CK/LDH y contexto de ejercicio/lesión. Alto riesgo de confundir hígado, riñón o catabolismo.]",Muy inespecífico sin CK; usar como hipótesis débil.,baja,70,2,2,24,,1000,no
VM116,ast_u_l,AST,hepatica,ambos,10.0–40.0,sobrecarga_ferrica,Sobrecarga Ferrica,Hematínico / nutricional,high,0.17,context,baja,0.4,baja,baja,0.4,hepatico,no,no,all,,"transferrin_sat_pct, ferritin_ng_ml, iron_ug_dl",,Contexto: elevación de ast_u_l apoya el grupo hepatico.,Exceso de hierro o señal de ferritina alta con saturación aumentada.,Ferritina alta aislada es ambigua; pedir saturación/transaminasas/Fe para reforzar.,alta,50,2,2,24,,1000,si
VM147,bilirubin_total_mg_dl,Bilirrubina total,hepatica,ambos,0.2–1.2,carga_hepatica,Carga Hepatica,Hepático,high,0.17,context,baja,0.4,baja,baja,0.4,colestasis,no,no,all,,"alt_u_l, albumin_g_dl, ast_u_l",,Contexto: elevación de bilirubin_total_mg_dl apoya el grupo colestasis.,Estrés hepatocelular o carga metabólica hepática.,ALT aislada leve no basta; pedir AST/GGT o soporte metabólico.,alta,45,2,2,24,,20,si
VM153,bilirubin_total_mg_dl,Bilirrubina total,hepatica,ambos,0.2–1.2,componente_hepatobiliar,Componente Hepatobiliar,Hepático,high,0.86,driver,media,0.7,alta,alta,1,colestasis,si,no,all,,"ggt_u_l, alp_u_l, alt_u_l",,Driver principal: elevación de bilirubin_total_mg_dl apoya el grupo colestasis.,Componente colestásico/hepatobiliar.,"GGT/ALP/bilirrubina deben mostrar patrón biliar, no una elevación aislada.",alta,40,2,2,24,,20,si
VM139,bmi_kg_m2,BMI,metabolico,ambos,18.5–24.9,deficit_proteico_catabolismo,Deficit Proteico Catabolismo,Hematínico / nutricional,low,0.37,support,baja,0.4,media,baja,0.4,catabolico_masa,no,no,all,,"albumin_g_dl, creatinine_mg_dl, urea_mg_dl",,Driver de soporte: descenso de bmi_kg_m2 apoya el grupo catabolico_masa.,Sospecha de baja disponibilidad proteica o mayor catabolismo.,Albúmina baja debe acompañarse de masa corporal/urea/creatinina o linfopenia.,alta,50,2,2,22,,,si
VM185,bmi_kg_m2,BMI,metabolico,ambos,18.5–24.9,disfuncion_tiroidea_periferica,Disfuncion Tiroidea Periferica,Hormonal / saciedad,high,0.15,context,baja,0.4,baja,baja,0.4,fenotipo,no,no,all,,"tsh_mIU_l, tsh_mIU_l, ft4_ng_dl",,Contexto: elevación de bmi_kg_m2 apoya el grupo fenotipo.,Disfunción tiroidea operativa con TSH/FT4 y reflejo metabólico.,TSH/FT4 deben liderar; lípidos sólo refuerzan.,alta,45,2,1,22,,,si
VM184,bmi_kg_m2,BMI,metabolico,ambos,18.5–24.9,disfuncion_tiroidea_periferica,Disfuncion Tiroidea Periferica,Hormonal / saciedad,low,0.15,context,baja,0.4,baja,baja,0.4,fenotipo,no,no,all,,"tsh_mIU_l, tsh_mIU_l, ft4_ng_dl",,Contexto: descenso de bmi_kg_m2 apoya el grupo fenotipo.,Disfunción tiroidea operativa con TSH/FT4 y reflejo metabólico.,TSH/FT4 deben liderar; lípidos sólo refuerzan.,alta,45,2,1,22,,,si
VM193,bmi_kg_m2,BMI,metabolico,ambos,18.5–24.9,estado_anabolico_bajo,Estado Anabolico Bajo,Hormonal / saciedad,low,0.37,support,baja,0.4,media,baja,0.4,catabolico_masa,no,no,all,,"creatinine_mg_dl, albumin_g_dl, hb_g_dl",,Driver de soporte: descenso de bmi_kg_m2 apoya el grupo catabolico_masa.,Señal de baja reserva anabólica o masa magra reducida.,Útil como patrón de soporte; no afirmar si solo hay IMC bajo leve.,alta,50,2,2,22,,,si
VM008,bmi_kg_m2,BMI,metabolico,ambos,18.5–24.9,insulinorresistencia,Insulinorresistencia,Metabólico,high,0.37,support,baja,0.4,media,baja,0.4,adiposidad,no,no,all,,"glucose_mg_dl, hba1c_pct, insulin_uIU_ml",,Driver de soporte: elevación de bmi_kg_m2 apoya el grupo adiposidad.,Patrón de hiperinsulinemia compensatoria y exceso adiposo visceral con tendencia a disglucemia y dislipidemia.,Exigir señal glucémica/insulínica más al menos un eje adiposidad o dislipidemia para evitar sobrediagnóstico por una variable aislada.,alta,45,3,2,28,,,si
VM179,bmi_kg_m2,BMI,metabolico,ambos,18.5–24.9,resistencia_leptinica_saciedad,Resistencia Leptinica Saciedad,Hormonal / saciedad,high,0.42,support,baja,0.4,alta,media,0.7,adiposidad,no,no,all,,"waist_cm, insulin_uIU_ml, triglycerides_mg_dl",,Driver de soporte: elevación de bmi_kg_m2 apoya el grupo adiposidad.,Patrón antropométrico-metabólico sugerente de señal leptínica ineficaz; baja especificidad. [Usar con umbral alto: Sin leptina ni señales de ingesta; usar como fenotipo indirecto de adiposidad central.],Cintura debe acompañarse de señal metabólica/inflamatoria.,alta,60,2,2,24,,,si
VM172,bmi_kg_m2,BMI,metabolico,ambos,18.5–24.9,retencion_hidrosalina,Retencion Hidrosalina,Renal / volumen,high,0.15,context,baja,0.4,baja,baja,0.4,metabolico,no,no,all,,"hct_pct, albumin_g_dl, hb_g_dl",,Contexto: elevación de bmi_kg_m2 apoya el grupo metabolico.,Patrón compatible con expansión de volumen/hemodilución o pérdida de oncótica. [Usar con umbral alto: Sin sodio/BNP/osmolalidad; mantener umbral alto para evitar falsos positivos.],Muy inferencial; mantener prudencia y no titular si no hay contexto clínico.,media,60,2,2,22,,,si
VM035,bmi_kg_m2,BMI,metabolico,ambos,18.5–24.9,riesgo_cardiometabolico_global,Riesgo Cardiometabolico Global,Metabólico,high,0.16,context,baja,0.4,baja,baja,0.4,adiposidad,no,no,all,,"apob_mg_dl, lpa_nmol_l, triglycerides_mg_dl",,Contexto: elevación de bmi_kg_m2 apoya el grupo adiposidad.,"Integración de carga lipídica, glucídica, inflamatoria y adiposidad central.",Patrón resumen; requiere convergencia lipídica y metabólica/inflamatoria.,alta,65,3,2,30,,,si
VM053,bmi_kg_m2,BMI,metabolico,ambos,18.5–24.9,sindrome_metabolico_patron,Sindrome Metabolico Patron,Metabólico,high,0.34,support,baja,0.4,media,baja,0.4,adiposidad,no,no,all,,"glucose_mg_dl, triglycerides_mg_dl, hdl_mg_dl",,Driver de soporte: elevación de bmi_kg_m2 apoya el grupo adiposidad.,"Agrupación operativa de adiposidad central, glucosa alterada y dislipidemia aterogénica.","Patrón resumen; pedir al menos 3 ejes entre glucemia, TG, HDL, cintura.",alta,65,3,3,32,,,si
VM133,chol_total_mg_dl,Colesterol total,lipidos,ambos,0.0–199.0,deficit_proteico_catabolismo,Deficit Proteico Catabolismo,Hematínico / nutricional,low,0.17,context,baja,0.4,baja,baja,0.4,nutricional,no,si,all,,"albumin_g_dl, creatinine_mg_dl, bmi_kg_m2",,Contexto: descenso de chol_total_mg_dl apoya el grupo nutricional.,Sospecha de baja disponibilidad proteica o mayor catabolismo.,Albúmina baja debe acompañarse de masa corporal/urea/creatinina o linfopenia.,alta,50,2,2,22,,1000,si
VM183,chol_total_mg_dl,Colesterol total,lipidos,ambos,0.0–199.0,disfuncion_tiroidea_periferica,Disfuncion Tiroidea Periferica,Hormonal / saciedad,high,0.37,support,baja,0.4,media,baja,0.4,repercusion_lipidica,no,si,all,,"tsh_mIU_l, tsh_mIU_l, ft4_ng_dl",,Driver de soporte: elevación de chol_total_mg_dl apoya el grupo repercusion_lipidica.,Disfunción tiroidea operativa con TSH/FT4 y reflejo metabólico.,TSH/FT4 deben liderar; lípidos sólo refuerzan.,alta,45,2,1,22,,1000,si
VM024,chol_total_mg_dl,Colesterol total,lipidos,ambos,0.0–199.0,dislipidemia_aterogenica,Dislipidemia Aterogenica,Metabólico,high,0.17,context,baja,0.4,baja,baja,0.4,carga_aterogenica,no,si,all,,"triglycerides_mg_dl, apob_mg_dl, hdl_mg_dl",,Contexto: elevación de chol_total_mg_dl apoya el grupo carga_aterogenica.,"Patrón de TG altos, HDL bajo y aumento de partículas aterogénicas.",No activar por colesterol total aislado; pedir TG/HDL/ApoB/LDL-patrón coherente.,alta,45,2,2,26,,1000,si
VM129,creatinine_mg_dl,Creatinina,renal,sexo_especifico,f: 0.6–1.1 | m: 0.7–1.3,alteracion_metabolismo_folato_b12_homocisteina,Alteracion Metabolismo Folato B12 Homocisteina,Hematínico / nutricional,high,0.15,context,baja,0.4,baja,baja,0.4,contexto_metabolico,no,no,all,,"vitb12_pg_ml, folate_ng_ml, mcv_fl",,Contexto: elevación de creatinine_mg_dl apoya el grupo contexto_metabolico.,"Versión ampliada del eje B12/folato; incompleta sin homocisteína ni MMA. [Usar con umbral alto: Más amplio que eje B12/folato, pero incompleto sin homocisteína real.]",Más exigente que eje simple; precisa déficit vitamínico con contexto hematológico o renal.,alta,55,2,2,24,0.3,3,si
VM042,creatinine_mg_dl,Creatinina,renal,sexo_especifico,f: 0.6–1.1 | m: 0.7–1.3,carga_hiperuricemica,Carga Hiperuricemica,Metabólico,high,0.17,context,baja,0.4,baja,baja,0.4,renal,no,no,all,,"uric_acid_mg_dl, egfr_ml_min_1_73m2, insulin_uIU_ml",,Contexto: elevación de creatinine_mg_dl apoya el grupo renal.,Tendencia a hiperuricemia por sobreproducción o infraexcreción en contexto metabólico.,Ácido úrico alto debe acompañarse de contexto renal o metabólico.,alta,45,2,2,24,0.3,3,si
VM136,creatinine_mg_dl,Creatinina,renal,sexo_especifico,f: 0.6–1.1 | m: 0.7–1.3,deficit_proteico_catabolismo,Deficit Proteico Catabolismo,Hematínico / nutricional,low,0.37,support,baja,0.4,media,baja,0.4,catabolico_masa,no,no,all,,"albumin_g_dl, bmi_kg_m2, urea_mg_dl",,Driver de soporte: descenso de creatinine_mg_dl apoya el grupo catabolico_masa.,Sospecha de baja disponibilidad proteica o mayor catabolismo.,Albúmina baja debe acompañarse de masa corporal/urea/creatinina o linfopenia.,alta,50,2,2,22,0.3,3,si
VM164,creatinine_mg_dl,Creatinina,renal,sexo_especifico,f: 0.6–1.1 | m: 0.7–1.3,deshidratacion_hemoconcentracion,Deshidratacion Hemoconcentracion,Renal / volumen,high,0.37,support,baja,0.4,media,baja,0.4,renal,no,no,all,,"hct_pct, urea_mg_dl, hb_g_dl",,Driver de soporte: elevación de creatinine_mg_dl apoya el grupo renal.,Patrón compatible con hemoconcentración o contracción de volumen.,Exigir hemoconcentración más urea/creatinina/albumina para evitar ruido.,media,40,2,2,22,0.3,3,si
VM191,creatinine_mg_dl,Creatinina,renal,sexo_especifico,f: 0.6–1.1 | m: 0.7–1.3,estado_anabolico_bajo,Estado Anabolico Bajo,Hormonal / saciedad,low,0.37,support,baja,0.4,media,baja,0.4,catabolico_masa,no,no,all,,"bmi_kg_m2, albumin_g_dl, hb_g_dl",,Driver de soporte: descenso de creatinine_mg_dl apoya el grupo catabolico_masa.,Señal de baja reserva anabólica o masa magra reducida.,Útil como patrón de soporte; no afirmar si solo hay IMC bajo leve.,alta,50,2,2,22,0.3,3,si
VM062,creatinine_mg_dl,Creatinina,renal,sexo_especifico,f: 0.6–1.1 | m: 0.7–1.3,estado_purinico,Estado Purinico,Metabólico,high,0.15,context,baja,0.4,baja,baja,0.4,renal,no,no,all,,"uric_acid_mg_dl, uric_acid_mg_dl, egfr_ml_min_1_73m2",,Contexto: elevación de creatinine_mg_dl apoya el grupo renal.,Lectura operativa del eje purinas/ácido úrico/excreción renal. [Usar con umbral alto: Concepto paraguas menos específico que carga hiperuricémica.],"Describe tono úrico/purínico; puede mostrarse con una señal principal, mejor con soporte renal.",alta,55,1,1,18,0.3,3,si
VM199,creatinine_mg_dl,Creatinina,renal,sexo_especifico,f: 0.6–1.1 | m: 0.7–1.3,recambio_muscular_lesion,Recambio Muscular Lesion,Muscular / recambio,high,0.15,context,baja,0.4,baja,baja,0.4,catabolico_masa,no,no,all,,"ast_u_l, hscrp_mg_l, alt_u_l",,Contexto: elevación de creatinine_mg_dl apoya el grupo catabolico_masa.,"Sospecha de recambio/lesión muscular; incompleto sin CK. [Experimental desactivado: Faltan CK/LDH y contexto de ejercicio/lesión. Alto riesgo de confundir hígado, riñón o catabolismo.]",Muy inespecífico sin CK; usar como hipótesis débil.,baja,70,2,2,24,0.3,3,no
VM198,creatinine_mg_dl,Creatinina,renal,sexo_especifico,f: 0.6–1.1 | m: 0.7–1.3,recambio_muscular_lesion,Recambio Muscular Lesion,Muscular / recambio,low,0.15,context,baja,0.4,baja,baja,0.4,catabolico_masa,no,no,all,,"ast_u_l, hscrp_mg_l, alt_u_l",,Contexto: descenso de creatinine_mg_dl apoya el grupo catabolico_masa.,"Sospecha de recambio/lesión muscular; incompleto sin CK. [Experimental desactivado: Faltan CK/LDH y contexto de ejercicio/lesión. Alto riesgo de confundir hígado, riñón o catabolismo.]",Muy inespecífico sin CK; usar como hipótesis débil.,baja,70,2,2,24,0.3,3,no
VM170,creatinine_mg_dl,Creatinina,renal,sexo_especifico,f: 0.6–1.1 | m: 0.7–1.3,retencion_hidrosalina,Retencion Hidrosalina,Renal / volumen,high,0.15,context,baja,0.4,baja,baja,0.4,renal,no,no,all,,"hct_pct, albumin_g_dl, hb_g_dl",,Contexto: elevación de creatinine_mg_dl apoya el grupo renal.,Patrón compatible con expansión de volumen/hemodilución o pérdida de oncótica. [Usar con umbral alto: Sin sodio/BNP/osmolalidad; mantener umbral alto para evitar falsos positivos.],Muy inferencial; mantener prudencia y no titular si no hay contexto clínico.,media,60,2,2,22,0.3,3,si
VM155,creatinine_mg_dl,Creatinina,renal,sexo_especifico,f: 0.6–1.1 | m: 0.7–1.3,seguridad_renal,Seguridad renal,Renal / volumen,high,0.86,driver,media,0.7,alta,alta,1,renal,si,no,all,,"egfr_ml_min_1_73m2, uacr_mg_g, urea_mg_dl",,Driver principal: elevación de creatinine_mg_dl apoya el grupo renal.,"Bloque de vigilancia renal, filtrado y daño renal subclínico.",Estado de seguridad; priorizar creatinina/eGFR/UACR y reforzar con urea.,alta,35,2,2,20,0.3,3,si
VM130,egfr_ml_min_1_73m2,eGFR,renal,ambos,>=90.0,alteracion_metabolismo_folato_b12_homocisteina,Alteracion Metabolismo Folato B12 Homocisteina,Hematínico / nutricional,low,0.15,context,baja,0.4,baja,baja,0.4,contexto_metabolico,no,no,all,,"vitb12_pg_ml, folate_ng_ml, mcv_fl",,Contexto: descenso de egfr_ml_min_1_73m2 apoya el grupo contexto_metabolico.,"Versión ampliada del eje B12/folato; incompleta sin homocisteína ni MMA. [Usar con umbral alto: Más amplio que eje B12/folato, pero incompleto sin homocisteína real.]",Más exigente que eje simple; precisa déficit vitamínico con contexto hematológico o renal.,alta,55,2,2,24,15,,si
VM043,egfr_ml_min_1_73m2,eGFR,renal,ambos,>=90.0,carga_hiperuricemica,Carga Hiperuricemica,Metabólico,low,0.48,support,media,0.7,media,media,0.7,renal,no,no,all,,"uric_acid_mg_dl, insulin_uIU_ml, triglycerides_mg_dl",,Driver de soporte: descenso de egfr_ml_min_1_73m2 apoya el grupo renal.,Tendencia a hiperuricemia por sobreproducción o infraexcreción en contexto metabólico.,Ácido úrico alto debe acompañarse de contexto renal o metabólico.,alta,45,2,2,24,15,,si
