mechanism_id,label,definition,system,priority_base,activation_threshold,narrative_short,narrative_long,kind,is_enabled,min_hits,requires_primary_driver,min_groups,min_primary_hits,coherence_bonus,display_threshold,clinical_notes
permeabilidad_intestinal_inflamacion_baja,Permeabilidad Intestinal Inflamacion Baja,"Inferencia muy indirecta de inflamación de bajo grado y posible señal intestinal; usar con mucha cautela. [Experimental desactivado: Sin marcadores directos (calprotectina, zonulina u otros). Demasiado inferencial para activarlo en runtime.]",Inflamación / estrés biológico,baja,75,Inferencia muy indirecta de inflamación de bajo grado y posible señal intestinal; usar con mucha cautela.,Inferencia muy indirecta de inflamación de bajo grado y posible señal intestinal; usar con mucha cautela. Umbral operativo=75/100.,mecanismo,0,2,0,2,0,4,26,Muy inespecífico; mantener umbral alto y lenguaje prudente.
deficit_hierro_eritropoyesis,Deficit Hierro Eritropoyesis,Déficit de hierro funcional o absoluto con impacto eritropoyético.,Hematínico / nutricional,alta,45,Déficit de hierro funcional o absoluto con impacto eritropoyético.,Déficit de hierro funcional o absoluto con impacto eritropoyético. Umbral operativo=45/100.,mecanismo,1,3,1,2,1,12,24,Requiere convergencia hierro-hemograma; ferritina o saturación deben liderar.
sobrecarga_ferrica,Sobrecarga Ferrica,Exceso de hierro o señal de ferritina alta con saturación aumentada.,Hematínico / nutricional,alta,50,Exceso de hierro o señal de ferritina alta con saturación aumentada.,Exceso de hierro o señal de ferritina alta con saturación aumentada. Umbral operativo=50/100.,mecanismo,1,2,1,2,1,10,24,Ferritina alta aislada es ambigua; pedir saturación/transaminasas/Fe para reforzar.
eje_b12_folato,Eje B12 Folato,Déficit del eje vitamínico B12/folato con reflejo hematimétrico.,Hematínico / nutricional,alta,45,Déficit del eje vitamínico B12/folato con reflejo hematimétrico.,Déficit del eje vitamínico B12/folato con reflejo hematimétrico. Umbral operativo=45/100.,mecanismo,1,2,1,2,1,10,22,B12/folato bajos deben acompañarse de señal hematimétrica si se quiere mayor confianza.
alteracion_metabolismo_folato_b12_homocisteina,Alteracion Metabolismo Folato B12 Homocisteina,"Versión ampliada del eje B12/folato; incompleta sin homocisteína ni MMA. [Usar con umbral alto: Más amplio que eje B12/folato, pero incompleto sin homocisteína real.]",Hematínico / nutricional,alta,55,Versión ampliada del eje B12/folato; incompleta sin homocisteína ni MMA.,Versión ampliada del eje B12/folato; incompleta sin homocisteína ni MMA. Umbral operativo=55/100.,mecanismo,1,2,1,2,1,10,24,Más exigente que eje simple; precisa déficit vitamínico con contexto hematológico o renal.
deficit_proteico_catabolismo,Deficit Proteico Catabolismo,Sospecha de baja disponibilidad proteica o mayor catabolismo.,Hematínico / nutricional,alta,50,Sospecha de baja disponibilidad proteica o mayor catabolismo.,Sospecha de baja disponibilidad proteica o mayor catabolismo. Umbral operativo=50/100.,mecanismo,1,2,1,2,1,8,22,Albúmina baja debe acompañarse de masa corporal/urea/creatinina o linfopenia.
carga_hepatica,Carga Hepatica,Estrés hepatocelular o carga metabólica hepática.,Hepático,alta,45,Estrés hepatocelular o carga metabólica hepática.,Estrés hepatocelular o carga metabólica hepática. Umbral operativo=45/100.,mecanismo,1,2,1,2,1,10,24,ALT aislada leve no basta; pedir AST/GGT o soporte metabólico.
componente_hepatobiliar,Componente Hepatobiliar,Componente colestásico/hepatobiliar.,Hepático,alta,40,Componente colestásico/hepatobiliar.,Componente colestásico/hepatobiliar. Umbral operativo=40/100.,mecanismo,1,2,1,2,1,10,24,"GGT/ALP/bilirrubina deben mostrar patrón biliar, no una elevación aislada."
seguridad_renal,Seguridad renal,"Bloque de vigilancia renal, filtrado y daño renal subclínico.",Renal / volumen,alta,35,"Bloque de vigilancia renal, filtrado y daño renal subclínico.","Bloque de vigilancia renal, filtrado y daño renal subclínico. Umbral operativo=35/100.",estado_seguridad,1,2,1,2,1,12,20,Estado de seguridad; priorizar creatinina/eGFR/UACR y reforzar con urea.
deshidratacion_hemoconcentracion,Deshidratacion Hemoconcentracion,Patrón compatible con hemoconcentración o contracción de volumen.,Renal / volumen,media,40,Patrón compatible con hemoconcentración o contracción de volumen.,Patrón compatible con hemoconcentración o contracción de volumen. Umbral operativo=40/100.,estado_seguridad,1,2,1,2,1,8,22,Exigir hemoconcentración más urea/creatinina/albumina para evitar ruido.
retencion_hidrosalina,Retencion Hidrosalina,Patrón compatible con expansión de volumen/hemodilución o pérdida de oncótica. [Usar con umbral alto: Sin sodio/BNP/osmolalidad; mantener umbral alto para evitar falsos positivos.],Renal / volumen,media,60,Patrón compatible con expansión de volumen/hemodilución o pérdida de oncótica.,Patrón compatible con expansión de volumen/hemodilución o pérdida de oncótica. Umbral operativo=60/100.,estado_seguridad,1,2,0,2,0,6,22,Muy inferencial; mantener prudencia y no titular si no hay contexto clínico.
resistencia_leptinica_saciedad,Resistencia Leptinica Saciedad,Patrón antropométrico-metabólico sugerente de señal leptínica ineficaz; baja especificidad. [Usar con umbral alto: Sin leptina ni señales de ingesta; usar como fenotipo indirecto de adiposidad central.],Hormonal / saciedad,alta,60,Patrón antropométrico-metabólico sugerente de señal leptínica ineficaz; baja especificidad.,Patrón antropométrico-metabólico sugerente de señal leptínica ineficaz; baja especificidad. Umbral operativo=60/100.,mecanismo,1,2,1,2,1,8,24,Cintura debe acompañarse de señal metabólica/inflamatoria.
disfuncion_tiroidea_periferica,Disfuncion Tiroidea Periferica,Disfunción tiroidea operativa con TSH/FT4 y reflejo metabólico.,Hormonal / saciedad,alta,45,Disfunción tiroidea operativa con TSH/FT4 y reflejo metabólico.,Disfunción tiroidea operativa con TSH/FT4 y reflejo metabólico. Umbral operativo=45/100.,mecanismo,1,2,1,1,1,10,22,TSH/FT4 deben liderar; lípidos sólo refuerzan.
estado_anabolico_bajo,Estado Anabolico Bajo,Señal de baja reserva anabólica o masa magra reducida.,Hormonal / saciedad,alta,50,Señal de baja reserva anabólica o masa magra reducida.,Señal de baja reserva anabólica o masa magra reducida. Umbral operativo=50/100.,mecanismo,1,2,0,2,0,6,22,Útil como patrón de soporte; no afirmar si solo hay IMC bajo leve.
recambio_muscular_lesion,Recambio Muscular Lesion,"Sospecha de recambio/lesión muscular; incompleto sin CK. [Experimental desactivado: Faltan CK/LDH y contexto de ejercicio/lesión. Alto riesgo de confundir hígado, riñón o catabolismo.]",Muscular / recambio,baja,70,Sospecha de recambio/lesión muscular; incompleto sin CK.,Sospecha de recambio/lesión muscular; incompleto sin CK. Umbral operativo=70/100.,mecanismo,0,2,0,2,0,6,24,Muy inespecífico sin CK; usar como hipótesis débil.
